Test-Name,G-DemBy-Dir,G-DemBy-Suff,G-Demands,G-Eval,G-Suffices,Graph-Nodes,T-DemBy,T-Demands,T-Eval,T-Suffices
slicing/intersperse,(1.225997194647789 : 0.19861720223781112 : Nil),(0.9864095985889435 : 0.1458880760363342 : Nil),(0.5920726984739304 : 0.1438333443841276 : Nil),(2.771593600511551 : 0.23513720009594047 : Nil),(0.8414897918701172 : 0.23226951279074773 : Nil),(5.1 : 0.0 : Nil),(0.7389017015695571 : 0.11495124381460746 : Nil),(0.380293408036232 : 0.0243386349391398 : Nil),(0.9531947016716004 : 0.1558791216628223 : Nil),(0.9406618028879166 : 0.1937937052366101 : Nil)
slicing/length,(1.0239744991064073 : 0.15507805489683898 : Nil),(0.5834398984909057 : 0.14243785423320124 : Nil),(0.8059778988361359 : 0.04389967137100979 : Nil),(2.887814092636108 : 0.2513410483169824 : Nil),(1.2495493024587632 : 0.20311768762449497 : Nil),(4.8 : 0.0 : Nil),(0.9508504986763 : 0.13973260745895383 : Nil),(0.3983144015073776 : 0.012341477333739113 : Nil),(0.9473432987928391 : 0.1564179791441278 : Nil),(0.8864785969257355 : 0.14892008010870603 : Nil)
slicing/list-comp,(4.738415902853012 : 0.2177113042382565 : Nil),(12.1139966994524 : 0.3519499547771062 : Nil),(1.087592399120331 : 0.1948316137834919 : Nil),(40.97157460451126 : 1.5077181366940506 : Nil),(2.976568603515625 : 0.22535792846065708 : Nil),(41.2 : 0.0 : Nil),(14.49059900045395 : 0.912103964476796 : Nil),(6.6884922057390215 : 0.38890989986708074 : Nil),(14.18896679878235 : 1.0259346954006583 : Nil),(14.683136588335037 : 1.004197012149575 : Nil)
slicing/list-comp,(4.9000891029834746 : 0.4872358964744388 : Nil),(11.269135203957557 : 0.48755480214025565 : Nil),(0.9103028982877731 : 0.19152664944809283 : Nil),(35.98778670430183 : 0.7751899957983107 : Nil),(3.5412039041519163 : 0.2935563267429781 : Nil),(41.2 : 0.0 : Nil),(12.014057210087776 : 0.43794290371544325 : Nil),(5.339008098840713 : 0.27574999633208813 : Nil),(12.64563219845295 : 0.28255072255364855 : Nil),(12.827474895119668 : 0.77453793257812 : Nil)
slicing/lookup,(1.6156137019395829 : 0.031193941321981812 : Nil),(2.0500051975250244 : 0.2199208334965051 : Nil),(0.9187232941389084 : 0.1471362946388686 : Nil),(7.441877800226211 : 0.46484007417651724 : Nil),(1.4594060987234116 : 0.1091190572612726 : Nil),(9.6 : 0.0 : Nil),(1.3799449056386948 : 0.10762233420864166 : Nil),(0.6800118058919906 : 0.04354474833100254 : Nil),(2.375819796323776 : 0.2909815196598989 : Nil),(1.469042706489563 : 0.13104138729069933 : Nil)
slicing/map,(0.9416254997253418 : 0.18267488882141408 : Nil),(0.5778259038925171 : 0.14246923848643864 : Nil),(0.4269758969545364 : 0.045388228666048774 : Nil),(2.636770197749138 : 0.48005140370327853 : Nil),(0.6139286994934082 : 0.07065994850689575 : Nil),(2.9 : 0.0 : Nil),(0.481031197309494 : 0.04550265864546412 : Nil),(0.358786404132843 : 0.02987485105249024 : Nil),(0.7530888974666595 : 0.1474072228905761 : Nil),(0.5688827037811279 : 0.08430760542639017 : Nil)
slicing/matrix-update,(1.3965838998556137 : 0.38511243381260396 : Nil),(89.73234970271588 : 7.645893159137538 : Nil),(1.0909260988235474 : 0.1392360927404817 : Nil),(153.7660771995783 : 12.481635685374087 : Nil),(0.3029385030269623 : 0.015431100443033363 : Nil),(155.8 : 0.0 : Nil),(48.94743140339851 : 2.5466602491273966 : Nil),(17.141681507229805 : 1.3478869891184715 : Nil),(53.02005159854889 : 3.807113648177174 : Nil),(51.24500739872455 : 3.8773352181889345 : Nil)
slicing/multiply,(0.16891149878501893 : 0.005817502946724301 : Nil),(0.20608920156955718 : 0.012865311041532856 : Nil),(0.2065979927778244 : 0.02560344430192189 : Nil),(0.8634146988391876 : 0.3345733380874672 : Nil),(0.1612011969089508 : 0.013241424215316515 : Nil),(1.1 : 0.0 : Nil),(0.043676707148551944 : 0.002389180019322282 : Nil),(0.08444820642471314 : 0.012205142670767282 : Nil),(0.06862499713897705 : 0.009035651623664799 : Nil),(0.052042093873023984 : 0.0034898736095500846 : Nil)
slicing/nth,(0.24349669814109803 : 0.012427064477173632 : Nil),(1.487556391954422 : 0.2436908846107958 : Nil),(0.2593456983566284 : 0.03937771470933642 : Nil),(2.676693093776703 : 0.4816033569653253 : Nil),(0.2166189968585968 : 0.0191857362447026 : Nil),(3.8 : 0.0 : Nil),(0.8866054058074951 : 0.2522389893101695 : Nil),(0.6579943984746933 : 0.2625038244198423 : Nil),(0.8412449032068252 : 0.1615348223337431 : Nil),(0.8776932001113892 : 0.1721948864374356 : Nil)
slicing/output-not-source,(0.1984044998884201 : 0.002957202854160698 : Nil),(0.17410769760608674 : 0.0054638741772904615 : Nil),(0.21739859879016876 : 0.008502576841444752 : Nil),(0.4366889953613281 : 0.01068197051518919 : Nil),(0.5737701982259751 : 0.2229615554544029 : Nil),(1.0 : 0.0 : Nil),(0.059889698028564455 : 0.0022129083038730374 : Nil),(0.11058820188045501 : 0.003843800939811151 : Nil),(0.08330519795417786 : 0.0048446690416299116 : Nil),(0.060888200998306274 : 0.0014999125177614868 : Nil)
slicing/section-5-example,(11.46542319059372 : 1.614280740228617 : Nil),(16.459703293442725 : 1.598028849794257 : Nil),(1.5453688025474548 : 0.2612340511717768 : Nil),(55.706112396717074 : 4.032455408912416 : Nil),(4.80972920358181 : 0.5317892546545884 : Nil),(44.3 : 0.0 : Nil),(18.754522094130515 : 0.8506184302904616 : Nil),(6.922223699092865 : 0.609190831000064 : Nil),(19.05490520298481 : 1.456639280874718 : Nil),(18.19180430173874 : 1.0540654979865047 : Nil)
slicing/section-5-example,(6.534463402628899 : 1.2953348177447073 : Nil),(17.389062708616258 : 2.5684554414514245 : Nil),(1.042261004447937 : 0.1801994818184143 : Nil),(44.546522197127345 : 4.69321617328256 : Nil),(1.7884672999382019 : 0.34130453124791993 : Nil),(44.3 : 0.0 : Nil),(15.999756601452827 : 1.6365523968407027 : Nil),(7.441441997885704 : 1.043635582815161 : Nil),(16.110256299376488 : 2.7121233154650275 : Nil),(17.26724900305271 : 1.9810117955632072 : Nil)
slicing/section-5-example,(6.144649907946587 : 0.4033654174110524 : Nil),(18.567714098095895 : 3.935202439912331 : Nil),(1.255843397974968 : 0.2844813278786923 : Nil),(53.64938689172268 : 5.136528331413062 : Nil),(3.160671904683113 : 0.7913938984253263 : Nil),(44.3 : 0.0 : Nil),(18.28194280266762 : 1.8345324243499515 : Nil),(7.009009900689125 : 0.7080539196068611 : Nil),(21.7998988032341 : 3.8638042536322366 : Nil),(17.409587401151658 : 0.7303756423581561 : Nil)
slicing/zeros,(1.3788851082324982 : 0.4905708568347472 : Nil),(0.8234329909086228 : 0.4457356720164929 : Nil),(0.5670442044734955 : 0.06273630225220204 : Nil),(2.763560190796852 : 0.5024253044373684 : Nil),(0.9032183945178985 : 0.233634518912639 : Nil),(2.3 : 0.0 : Nil),(0.40314930081367495 : 0.03025441661178236 : Nil),(0.3742306977510452 : 0.03820685546553088 : Nil),(0.6395179033279419 : 0.08376257670618424 : Nil),(0.5334519952535629 : 0.07361713004200614 : Nil)
slicing/zeros,(1.1829713046550752 : 0.30614569055283225 : Nil),(0.4068602979183197 : 0.05870343578554523 : Nil),(0.4960309982299805 : 0.04564289810777914 : Nil),(2.480101299285889 : 0.4829256916087687 : Nil),(0.4951387017965317 : 0.04073940557606109 : Nil),(2.3 : 0.0 : Nil),(0.7928442984819413 : 0.2094473386069117 : Nil),(0.3787133008241653 : 0.03754463022612805 : Nil),(0.5054676979780197 : 0.034382142719561415 : Nil),(0.5918055087327957 : 0.07863316348960658 : Nil)
slicing/zipWith,(4.799875694513321 : 0.8140767120143568 : Nil),(4.179386794567108 : 0.667098478908261 : Nil),(1.4982624977827073 : 0.4585840579047894 : Nil),(15.230005499720573 : 0.8928818385994467 : Nil),(2.389784899353981 : 0.5096861634119643 : Nil),(9.7 : 0.0 : Nil),(4.417294797301293 : 0.7435594482737313 : Nil),(1.7530141055583954 : 0.5388376598568168 : Nil),(4.193649998307228 : 0.6964847723978314 : Nil),(3.559161600470543 : 0.5461463838403917 : Nil)
slicing/linked-outputs/bar-chart-line-chart,(26.21681840121746 : 0.8735423748315627 : Nil),(3742.7789637982846 : 139.3675231598794 : Nil),(39.13400610089302 : 1.8592517317556037 : Nil),(7143.314292401075 : 277.37585328341345 : Nil),(4.815200096368789 : 0.46120040418258923 : Nil),(5525.6 : 0.0 : Nil),(2679.8513685971498 : 137.12045297689681 : Nil),(688.4824529975652 : 17.749659837411343 : Nil),(3251.204972103238 : 302.5754593361241 : Nil),(2515.8423496961595 : 108.10763974624864 : Nil)
slicing/linked-outputs/stacked-bar-scatter-plot,(68.60040749907493 : 2.9034888489540345 : Nil),(28719.800428298116 : 1533.454892144035 : Nil),(26.67249059677124 : 2.1563834233527417 : Nil),(33288.0035847038 : 2006.151930176644 : Nil),(56.34457440674305 : 6.614125827821934 : Nil),(2689.8 : 0.0 : Nil),(1313.3593497991562 : 84.1130983714306 : Nil),(392.19744340777396 : 19.02397949861366 : Nil),(1702.6112080007792 : 98.85480061578919 : Nil),(1394.700730100274 : 81.93568794120519 : Nil)
slicing/qcut,(4.543618205189705 : 0.35307245821980704 : Nil),(732.0970303982497 : 83.32872448975745 : Nil),(4.778487101197243 : 1.173446144724088 : Nil),(1184.483114901185 : 26.85874757617271 : Nil),(2.1496742993593214 : 0.2018778316818243 : Nil),(1032.2 : 0.0 : Nil),(367.5987766981125 : 19.282001164515485 : Nil),(141.84496029913424 : 5.6269505077702515 : Nil),(422.53387630283834 : 23.48454434772019 : Nil),(372.6605933010578 : 14.237784604527224 : Nil)
graphics/background,(0.17957029938697816 : 0.01716379999972784 : Nil),(2.964232698082924 : 0.28656003547198783 : Nil),(0.13124220073223114 : 0.008719485525620248 : Nil),(4.576862701773644 : 0.41771457861973654 : Nil),(0.14849670231342316 : 0.013423929324310224 : Nil),(9.7 : 0.0 : Nil),(0.3189581990242004 : 0.03883871538177445 : Nil),(0.45331970453262327 : 0.06022826442013586 : Nil),(0.4337437957525253 : 0.05563508657702609 : Nil),(0.42501930594444276 : 0.0729134100696464 : Nil)
graphics/grouped-bar-chart,(6.432314595580101 : 0.3725538747403114 : Nil),(1443.9742214977741 : 52.24937100881944 : Nil),(2.473772796988487 : 0.09610961842903927 : Nil),(1617.5926321059464 : 29.727285669982866 : Nil),(5.250311690568924 : 0.36129127878642125 : Nil),(300.8 : 0.0 : Nil),(88.15060030221939 : 3.818788236723192 : Nil),(47.704478999972345 : 0.7809452402621164 : Nil),(100.71054270267487 : 5.42456748653451 : Nil),(95.14989810585976 : 2.901708402691236 : Nil)
graphics/line-chart,(3.995450896024704 : 0.182667107592223 : Nil),(622.5503403961659 : 11.497769356866302 : Nil),(2.8372469037771224 : 0.13468023611672478 : Nil),(1279.6094758033753 : 27.71740140223148 : Nil),(2.5825962901115416 : 0.20967207295791687 : Nil),(437.9 : 0.0 : Nil),(107.27771190106868 : 4.584318782808543 : Nil),(59.80894570052624 : 3.0638429551280204 : Nil),(129.98532630205153 : 4.965328518377163 : Nil),(117.43420650362968 : 6.723985934076007 : Nil)
graphics/stacked-bar-chart,(3.6252464026212694 : 0.18100762754887445 : Nil),(783.4816433042288 : 13.34825632989408 : Nil),(1.6569906979799272 : 0.04809393880591479 : Nil),(913.1585004001856 : 15.754377525608547 : Nil),(3.154205799102783 : 0.20307174166842953 : Nil),(207.2 : 0.0 : Nil),(44.624410402774814 : 1.7264267919881475 : Nil),(28.96324549615383 : 1.8446264154564038 : Nil),(53.838975393772124 : 2.901922360925869 : Nil),(46.91601039469242 : 1.9314240624024201 : Nil)
