Test-Name,G-DemBy-Dir,G-DemBy-Suff,G-Demands,G-Eval,G-Suffices,Graph-Nodes,T-DemBy,T-Demands,T-Eval,T-Suffices
array,(0.08162130117416382 : 0.005755112359837772 : Nil),(0.7678499966859818 : 0.02050985863065102 : Nil),(0.06666130125522614 : 0.004079701180630854 : Nil),(1.382056900858879 : 0.0877630477350443 : Nil),(0.06359089314937591 : 0.0022054821644403796 : Nil),(4.2 : 0.0 : Nil),(0.2461656004190445 : 0.007788838993569343 : Nil),(0.4799813985824585 : 0.08605609360359288 : Nil),(0.36148240566253664 : 0.069524286884246 : Nil),(0.256687593460083 : 0.006695671954371659 : Nil)
compose,(0.05942879915237427 : 0.0016203455247906656 : Nil),(0.3230329990386963 : 0.04192756276949205 : Nil),(0.03742910325527191 : 0.0008516206247616941 : Nil),(0.4599640965461731 : 0.03589032665453962 : Nil),(0.0493770033121109 : 0.0029169417125530796 : Nil),(1.4 : 0.0 : Nil),(0.08355219960212708 : 0.00348433400515512 : Nil),(0.11984460651874543 : 0.006305495774563941 : Nil),(0.0911484032869339 : 0.004560257343373005 : Nil),(0.09022219777107239 : 0.0036289017325173583 : Nil)
dicts,(0.11077279150485993 : 0.0032503991876710533 : Nil),(1.1388099014759063 : 0.07017915868865397 : Nil),(0.09549420177936555 : 0.008904964395266179 : Nil),(1.737170895934105 : 0.0817048301240205 : Nil),(0.08953430354595185 : 0.002464572375643737 : Nil),(5.0 : 0.0 : Nil),(0.1915285974740982 : 0.007654707261467113 : Nil),(0.4456823021173477 : 0.07016434625678249 : Nil),(0.29243879616260526 : 0.06755533512752879 : Nil),(0.21795089840888976 : 0.02999103323367243 : Nil)
div-mod-quot-rem,(0.20818390250205993 : 0.011274271308353644 : Nil),(5.138352602720261 : 0.18498268832845097 : Nil),(0.18009630143642424 : 0.0086536318482985 : Nil),(7.8516839921474455 : 0.3262245031591993 : Nil),(0.14308520257472992 : 0.011727931874768857 : Nil),(15.0 : 0.0 : Nil),(0.4983359009027481 : 0.03927013418948129 : Nil),(0.38146590292453764 : 0.025003864187654018 : Nil),(0.5777550011873245 : 0.047251560121449696 : Nil),(0.5042498946189881 : 0.03172317382187869 : Nil)
factorial,(0.09245270192623138 : 0.0032382565965228603 : Nil),(2.169220095872879 : 0.07445575665019727 : Nil),(0.07892930209636688 : 0.003991447658752267 : Nil),(4.826698899269104 : 0.16046134689448768 : Nil),(0.07556789815425873 : 0.004358432270916384 : Nil),(9.7 : 0.0 : Nil),(1.5148090958595275 : 0.07828614368836041 : Nil),(0.7751125037670136 : 0.031627967672510145 : Nil),(1.5899742990732193 : 0.06263471771850887 : Nil),(1.5966389954090119 : 0.07143801129783017 : Nil)
filter,(0.11937089860439301 : 0.008914266888512764 : Nil),(1.1122408956289291 : 0.05612340470175082 : Nil),(0.08140549659729004 : 0.004532501818246828 : Nil),(2.5450103104114534 : 0.09737840833133736 : Nil),(0.12691510319709778 : 0.028853361493003583 : Nil),(4.9 : 0.0 : Nil),(0.8891995966434478 : 0.03908012226384128 : Nil),(0.5892232984304429 : 0.04297007806663374 : Nil),(0.9996747970581055 : 0.04876157111381141 : Nil),(0.982661497592926 : 0.058501928926942205 : Nil)
first-class-constr,(0.20654120445251464 : 0.040447214163968646 : Nil),(2.179122802615166 : 0.3386861265985415 : Nil),(0.11091159880161286 : 0.012387719576387962 : Nil),(4.038450902700424 : 0.32485130417750696 : Nil),(0.14883220493793486 : 0.011614116830971483 : Nil),(6.6 : 0.0 : Nil),(1.1001658022403717 : 0.08200130172399893 : Nil),(0.6402769953012466 : 0.058487865374650734 : Nil),(1.3261229991912842 : 0.15198264091822972 : Nil),(1.044267898797989 : 0.09235852660191884 : Nil)
flatten,(0.180275097489357 : 0.010497090438402855 : Nil),(2.8309595972299575 : 0.19138023840063975 : Nil),(0.139290389418602 : 0.008176896353686734 : Nil),(5.877066704630852 : 0.26633207840712214 : Nil),(0.149883696436882 : 0.010680678611648042 : Nil),(8.7 : 0.0 : Nil),(2.0501715004444123 : 0.1010390512897052 : Nil),(0.8238824039697648 : 0.045102456903811 : Nil),(2.199571794271469 : 0.11637866702556462 : Nil),(2.216480705142021 : 0.1767536733497708 : Nil)
foldr-sumSquares,(0.10459599494934083 : 0.005455381469495572 : Nil),(1.3002238065004348 : 0.11845224228857691 : Nil),(0.07854940593242646 : 0.005336739781081905 : Nil),(2.5513744086027144 : 0.08307388550200685 : Nil),(0.09651239812374116 : 0.006057560010356182 : Nil),(5.7 : 0.0 : Nil),(0.8874904960393906 : 0.06653537812470824 : Nil),(0.652589601278305 : 0.049543926012890926 : Nil),(0.9537307024002075 : 0.05112935237222986 : Nil),(1.0390415042638779 : 0.08857673584383638 : Nil)
include-input-into-output,(0.040732395648956296 : 0.0009421076995859622 : Nil),(0.13003180027008057 : 0.00411730434390741 : Nil),(0.05037720203399658 : 0.004130116775234815 : Nil),(0.2518355011940002 : 0.04666320289305567 : Nil),(0.03731529414653778 : 0.0024807564899555247 : Nil),(0.3 : 0.0 : Nil),(0.023079293966293334 : 0.0006190400581177239 : Nil),(0.04077329933643341 : 0.003236426956704046 : Nil),(0.031012803316116333 : 0.0013185935460030785 : Nil),(0.025807908177375792 : 0.0018237121023978251 : Nil)
